  Yr, Mn,    Date,      Date,     18O,seasonally,        fit,  seasonally,      18O, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          , per-mil,  per-mil,    per-mil,  per-mil,   per-mil,  per-mil
1990, 08,   33100, 1990.6219,     0.43,     0.35,       0.38,     0.30,       0.43,     0.35
1990, 09,   33131, 1990.7068,     0.21,     0.27,       0.24,     0.30,       0.21,     0.27
1990, 10,   33161, 1990.7890,     0.16,     0.35,       0.12,     0.30,       0.16,     0.35
1990, 11,   33192, 1990.8740,     0.27,     0.49,       0.09,     0.31,       0.27,     0.49
1990, 12,   33222, 1990.9562,      NaN,      NaN,       0.18,     0.31,       0.18,     0.31
1991, 01,   33253, 1991.0411,     0.36,     0.38,       0.30,     0.32,       0.36,     0.38
1991, 02,   33284, 1991.1260,     0.37,     0.31,       0.38,     0.32,       0.37,     0.31
1991, 03,   33312, 1991.2027,     0.25,     0.18,       0.40,     0.33,       0.25,     0.18
1991, 04,   33343, 1991.2877,     0.33,     0.27,       0.40,     0.34,       0.33,     0.27
1991, 05,   33373, 1991.3699,     0.46,     0.38,       0.43,     0.35,       0.46,     0.38
1991, 06,   33404, 1991.4548,     0.63,     0.50,       0.50,     0.37,       0.63,     0.50
1991, 07,   33434, 1991.5370,     0.47,     0.32,       0.54,     0.39,       0.47,     0.32
1991, 08,   33465, 1991.6219,     0.31,     0.23,       0.49,     0.40,       0.31,     0.23
1991, 09,   33496, 1991.7068,     0.65,     0.71,       0.36,     0.42,       0.65,     0.71
1991, 10,   33526, 1991.7890,     0.30,     0.48,       0.25,     0.44,       0.30,     0.48
1991, 11,   33557, 1991.8740,     0.22,     0.44,       0.25,     0.46,       0.22,     0.44
1991, 12,   33587, 1991.9562,     0.33,     0.47,       0.34,     0.48,       0.33,     0.47
1992, 01,   33618, 1992.0410,     0.49,     0.50,       0.48,     0.50,       0.49,     0.50
1992, 02,   33649, 1992.1257,     0.62,     0.56,       0.58,     0.52,       0.62,     0.56
1992, 03,   33678, 1992.2049,     0.63,     0.56,       0.60,     0.53,       0.63,     0.56
1992, 04,   33709, 1992.2896,     0.53,     0.47,       0.61,     0.55,       0.53,     0.47
1992, 05,   33739, 1992.3716,     0.64,     0.56,       0.65,     0.57,       0.64,     0.56
1992, 06,   33770, 1992.4563,     0.66,     0.53,       0.72,     0.58,       0.66,     0.53
1992, 07,   33800, 1992.5383,     0.80,     0.65,       0.75,     0.60,       0.80,     0.65
1992, 08,   33831, 1992.6230,     0.72,     0.64,       0.69,     0.61,       0.72,     0.64
1992, 09,   33862, 1992.7077,     0.56,     0.63,       0.56,     0.62,       0.56,     0.63
1992, 10,   33892, 1992.7896,     0.45,     0.64,       0.44,     0.63,       0.45,     0.64
1992, 11,   33923, 1992.8743,     0.37,     0.59,       0.42,     0.64,       0.37,     0.59
1992, 12,   33953, 1992.9563,     0.46,     0.59,       0.51,     0.65,       0.46,     0.59
1993, 01,   33984, 1993.0411,     0.69,     0.70,       0.63,     0.65,       0.69,     0.70
1993, 02,   34015, 1993.1260,     0.71,     0.65,       0.71,     0.65,       0.71,     0.65
1993, 03,   34043, 1993.2027,     0.72,     0.65,       0.71,     0.64,       0.72,     0.65
1993, 04,   34074, 1993.2877,     0.84,     0.78,       0.69,     0.64,       0.84,     0.78
1993, 05,   34104, 1993.3699,     0.75,     0.67,       0.70,     0.63,       0.75,     0.67
1993, 06,   34135, 1993.4548,     0.73,     0.60,       0.74,     0.61,       0.73,     0.60
1993, 07,   34165, 1993.5370,     0.77,     0.62,       0.75,     0.60,       0.77,     0.62
1993, 08,   34196, 1993.6219,     0.71,     0.63,       0.66,     0.58,       0.71,     0.63
1993, 09,   34227, 1993.7068,     0.39,     0.45,       0.50,     0.56,       0.39,     0.45
1993, 10,   34257, 1993.7890,     0.23,     0.42,       0.35,     0.54,       0.23,     0.42
1993, 11,   34288, 1993.8740,     0.26,     0.48,       0.31,     0.53,       0.26,     0.48
1993, 12,   34318, 1993.9562,     0.37,     0.51,       0.38,     0.51,       0.37,     0.51
1994, 01,   34349, 1994.0411,     0.44,     0.46,       0.49,     0.50,       0.44,     0.46
1994, 02,   34380, 1994.1260,     0.53,     0.47,       0.55,     0.49,       0.53,     0.47
1994, 03,   34408, 1994.2027,     0.61,     0.54,       0.56,     0.49,       0.61,     0.54
1994, 04,   34439, 1994.2877,     0.51,     0.45,       0.54,     0.48,       0.51,     0.45
1994, 05,   34469, 1994.3699,     0.63,     0.55,       0.55,     0.47,       0.63,     0.55
1994, 06,   34500, 1994.4548,     0.59,     0.46,       0.60,     0.47,       0.59,     0.46
1994, 07,   34530, 1994.5370,     0.67,     0.51,       0.62,     0.46,       0.67,     0.51
1994, 08,   34561, 1994.6219,     0.65,     0.57,       0.54,     0.46,       0.65,     0.57
1994, 09,   34592, 1994.7068,     0.30,     0.36,       0.39,     0.45,       0.30,     0.36
1994, 10,   34622, 1994.7890,     0.09,     0.28,       0.26,     0.45,       0.09,     0.28
1994, 11,   34653, 1994.8740,     0.20,     0.42,       0.23,     0.45,       0.20,     0.42
1994, 12,   34683, 1994.9562,     0.15,     0.29,       0.31,     0.45,       0.15,     0.29
1995, 01,   34714, 1995.0411,     0.51,     0.53,       0.43,     0.45,       0.51,     0.53
1995, 02,   34745, 1995.1260,     0.60,     0.54,       0.51,     0.45,       0.60,     0.54
1995, 03,   34773, 1995.2027,     0.63,     0.56,       0.51,     0.44,       0.63,     0.56
1995, 04,   34804, 1995.2877,     0.57,     0.51,       0.49,     0.43,       0.57,     0.51
1995, 05,   34834, 1995.3699,     0.56,     0.49,       0.50,     0.42,       0.56,     0.49
1995, 06,   34865, 1995.4548,     0.62,     0.48,       0.54,     0.40,       0.62,     0.48
1995, 07,   34895, 1995.5370,     0.47,     0.32,       0.54,     0.39,       0.47,     0.32
1995, 08,   34926, 1995.6219,     0.38,     0.29,       0.45,     0.37,       0.38,     0.29
1995, 09,   34957, 1995.7068,     0.22,     0.28,       0.29,     0.36,       0.22,     0.28
1995, 10,   34987, 1995.7890,     0.02,     0.21,       0.15,     0.34,       0.02,     0.21
1995, 11,   35018, 1995.8740,     0.19,     0.41,       0.11,     0.33,       0.19,     0.41
1995, 12,   35048, 1995.9562,     0.27,     0.41,       0.18,     0.32,       0.27,     0.41
1996, 01,   35079, 1996.0410,     0.34,     0.35,       0.29,     0.30,       0.34,     0.35
1996, 02,   35110, 1996.1257,     0.35,     0.29,       0.35,     0.29,       0.35,     0.29
1996, 03,   35139, 1996.2049,     0.35,     0.28,       0.35,     0.28,       0.35,     0.28
1996, 04,   35170, 1996.2896,     0.44,     0.38,       0.33,     0.28,       0.44,     0.38
1996, 05,   35200, 1996.3716,     0.29,     0.21,       0.35,     0.27,       0.29,     0.21
1996, 06,   35231, 1996.4563,     0.40,     0.26,       0.40,     0.26,       0.40,     0.26
1996, 07,   35261, 1996.5383,     0.37,     0.22,       0.41,     0.26,       0.37,     0.22
1996, 08,   35292, 1996.6230,     0.43,     0.35,       0.34,     0.26,       0.43,     0.35
1996, 09,   35323, 1996.7077,    -0.05,     0.02,       0.20,     0.26,      -0.05,     0.02
1996, 10,   35353, 1996.7896,    -0.01,     0.19,       0.08,     0.27,      -0.01,     0.19
1996, 11,   35384, 1996.8743,     0.09,     0.31,       0.06,     0.28,       0.09,     0.31
1996, 12,   35414, 1996.9563,     0.13,     0.27,       0.15,     0.29,       0.13,     0.27
1997, 01,   35445, 1997.0411,     0.31,     0.33,       0.29,     0.31,       0.31,     0.33
1997, 02,   35476, 1997.1260,     0.33,     0.27,       0.39,     0.33,       0.33,     0.27
1997, 03,   35504, 1997.2027,     0.38,     0.31,       0.42,     0.35,       0.38,     0.31
1997, 04,   35535, 1997.2877,     0.45,     0.39,       0.42,     0.37,       0.45,     0.39
1997, 05,   35565, 1997.3699,     0.47,     0.39,       0.47,     0.39,       0.47,     0.39
1997, 06,   35596, 1997.4548,     0.60,     0.46,       0.54,     0.41,       0.60,     0.46
1997, 07,   35626, 1997.5370,     0.50,     0.35,       0.58,     0.43,       0.50,     0.35
1997, 08,   35657, 1997.6219,     0.56,     0.48,       0.53,     0.44,       0.56,     0.48
1997, 09,   35688, 1997.7068,     0.27,     0.33,       0.40,     0.46,       0.27,     0.33
1997, 10,   35718, 1997.7890,     0.30,     0.49,       0.28,     0.47,       0.30,     0.49
1997, 11,   35749, 1997.8740,     0.38,     0.60,       0.26,     0.48,       0.38,     0.60
1997, 12,   35779, 1997.9562,     0.40,     0.54,       0.35,     0.49,       0.40,     0.54
1998, 01,   35810, 1998.0411,     0.48,     0.49,       0.48,     0.49,       0.48,     0.49
