"   Sample,Sample,    Excel,   Sample, NC,FGC,     CO2, NM,FGM,     CH4, NO,FGO,     CO, N13,FG3,13C-CO2,N18,FG8,18O-CO2,N14,FG4,14C-CO2"
"     Date,  Time,     Date,     Date,"
1964-06-30, 20:18, 23558.85, 1964.497,  2,  4,  323.72,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-07-13, 19:10, 23571.80, 1964.532,  1,  4,  322.17,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-07-31, 22:58, 23589.96, 1964.582,  2,  2,  319.93,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-08-18, 05:53, 23607.25, 1964.629,  2,  4,  319.28,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-08-31, 20:57, 23620.87, 1964.666,  2,  2,  319.08,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-09-14, 23:50, 23634.99, 1964.705,  2,  2,  317.75,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-10-02, 22:48, 23652.95, 1964.754,  2,  2,  317.20,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-10-14, 10:13, 23664.43, 1964.785,  2,  4,  321.77,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-10-31, 21:30, 23681.90, 1964.833,  2,  2,  318.72,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-11-14, 21:45, 23695.91, 1964.871,  2,  4,  319.12,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-11-30, 23:30, 23711.98, 1964.915,  2,  2,  318.39,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-12-17, 06:37, 23728.28, 1964.960,  1,  4,  319.61,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1964-12-31, 09:13, 23742.38, 1964.998,  2,  0,  319.49,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-01-13, 13:52, 23755.58, 1965.034,  2,  0,  319.88,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-01-29, 09:55, 23771.41, 1965.078,  2,  4,  321.65,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-02-16, 08:10, 23789.34, 1965.127,  2,  4,  324.64,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-03-04, 07:04, 23805.29, 1965.171,  2,  2,  320.91,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-03-17, 05:44, 23818.24, 1965.206,  2,  2,  321.13,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-03-31, 09:07, 23832.38, 1965.245,  2,  4,  321.88,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-04-15, 09:17, 23847.39, 1965.286,  2,  0,  322.61,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-04-30, 05:25, 23862.23, 1965.327,  2,  4,  323.38,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-05-14, 06:25, 23876.27, 1965.365,  2,  4,  323.75,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-05-30, 07:20, 23892.31, 1965.409,  2,  2,  323.37,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
1965-06-17, 22:00, 23910.92, 1965.460,  2,  2,  322.74,  0,  3,     NaN,  0,  3,     NaN,  0,  9,    NaN,  0,  9,    NaN,  0,  9,    NaN
